"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"08/01/2024 21:00 - 08/01/2024 22:00","Norway (NO)","22777.12","22594.25"
"08/01/2024 22:00 - 08/01/2024 23:00","Norway (NO)","22250.46","22150.19"
"08/01/2024 23:00 - 09/01/2024 00:00","Norway (NO)","21388.26","21541.00"
"09/01/2024 00:00 - 09/01/2024 01:00","Norway (NO)","21025.14","20834.75"
"09/01/2024 01:00 - 09/01/2024 02:00","Norway (NO)","20591.62","20727.85"
"09/01/2024 02:00 - 09/01/2024 03:00","Norway (NO)","20348.24","20408.56"
"09/01/2024 03:00 - 09/01/2024 04:00","Norway (NO)","20189.28","20148.37"
"09/01/2024 04:00 - 09/01/2024 05:00","Norway (NO)","20234.18","20109.09"
"09/01/2024 05:00 - 09/01/2024 06:00","Norway (NO)","20511.02","20452.94"
"09/01/2024 06:00 - 09/01/2024 07:00","Norway (NO)","21731.68","21405.51"
"09/01/2024 07:00 - 09/01/2024 08:00","Norway (NO)","22895.26","22743.13"
"09/01/2024 08:00 - 09/01/2024 09:00","Norway (NO)","23141.22","23201.21"
"09/01/2024 09:00 - 09/01/2024 10:00","Norway (NO)","23137.59","23028.85"
"09/01/2024 10:00 - 09/01/2024 11:00","Norway (NO)","23323.48","23151.97"
"09/01/2024 11:00 - 09/01/2024 12:00","Norway (NO)","23196.35","23123.72"
"09/01/2024 12:00 - 09/01/2024 13:00","Norway (NO)","22725.30","22965.87"
"09/01/2024 13:00 - 09/01/2024 14:00","Norway (NO)","22522.39","22477.18"
"09/01/2024 14:00 - 09/01/2024 15:00","Norway (NO)","22524.94","22430.34"
"09/01/2024 15:00 - 09/01/2024 16:00","Norway (NO)","22782.08","22666.14"
"09/01/2024 16:00 - 09/01/2024 17:00","Norway (NO)","22860.08","22911.35"
"09/01/2024 17:00 - 09/01/2024 18:00","Norway (NO)","22659.18","22556.31"
"09/01/2024 18:00 - 09/01/2024 19:00","Norway (NO)","22218.10","22361.06"
"09/01/2024 19:00 - 09/01/2024 20:00","Norway (NO)","22108.49","22014.48"
