"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"08/01/2024 11:00 - 08/01/2024 12:00","Sweden (SE)","23553.00","23555.00"
"08/01/2024 12:00 - 08/01/2024 13:00","Sweden (SE)","23255.00","23334.00"
"08/01/2024 13:00 - 08/01/2024 14:00","Sweden (SE)","23073.00","23072.00"
"08/01/2024 14:00 - 08/01/2024 15:00","Sweden (SE)","22574.00","23074.00"
"08/01/2024 15:00 - 08/01/2024 16:00","Sweden (SE)","22725.00","23280.00"
"08/01/2024 16:00 - 08/01/2024 17:00","Sweden (SE)","22660.00","23483.00"
"08/01/2024 17:00 - 08/01/2024 18:00","Sweden (SE)","22976.00","23591.00"
"08/01/2024 18:00 - 08/01/2024 19:00","Sweden (SE)","22896.00","23241.00"
"08/01/2024 19:00 - 08/01/2024 20:00","Sweden (SE)","22647.00","22819.00"
"08/01/2024 20:00 - 08/01/2024 21:00","Sweden (SE)","22285.00","22277.00"
"08/01/2024 21:00 - 08/01/2024 22:00","Sweden (SE)","21485.00","21604.00"
"08/01/2024 22:00 - 08/01/2024 23:00","Sweden (SE)","20473.00","20746.00"
"08/01/2024 23:00 - 09/01/2024 00:00","Sweden (SE)","20617.00","19948.00"
"09/01/2024 00:00 - 09/01/2024 01:00","Sweden (SE)","20072.00","19439.00"
"09/01/2024 01:00 - 09/01/2024 02:00","Sweden (SE)","19797.00","19104.00"
"09/01/2024 02:00 - 09/01/2024 03:00","Sweden (SE)","19813.00","18954.00"
"09/01/2024 03:00 - 09/01/2024 04:00","Sweden (SE)","19695.00","18896.00"
"09/01/2024 04:00 - 09/01/2024 05:00","Sweden (SE)","19435.00","18944.00"
"09/01/2024 05:00 - 09/01/2024 06:00","Sweden (SE)","19836.00","19421.00"
"09/01/2024 06:00 - 09/01/2024 07:00","Sweden (SE)","21362.00","20911.00"
"09/01/2024 07:00 - 09/01/2024 08:00","Sweden (SE)","22726.00","22030.00"
"09/01/2024 08:00 - 09/01/2024 09:00","Sweden (SE)","22655.00","22338.00"
"09/01/2024 09:00 - 09/01/2024 10:00","Sweden (SE)","22572.00","22264.00"
"09/01/2024 10:00 - 09/01/2024 11:00","Sweden (SE)","22423.00","22134.00"
"09/01/2024 11:00 - 09/01/2024 12:00","Sweden (SE)","22090.00","21987.00"
"09/01/2024 12:00 - 09/01/2024 13:00","Sweden (SE)","21945.00","21781.00"
"09/01/2024 13:00 - 09/01/2024 14:00","Sweden (SE)","21694.00","21564.00"
"09/01/2024 14:00 - 09/01/2024 15:00","Sweden (SE)","21777.00","21562.00"
"09/01/2024 15:00 - 09/01/2024 16:00","Sweden (SE)","21850.00","21801.00"
"09/01/2024 16:00 - 09/01/2024 17:00","Sweden (SE)","22287.00","22076.00"
"09/01/2024 17:00 - 09/01/2024 18:00","Sweden (SE)","22334.00","22180.00"
"09/01/2024 18:00 - 09/01/2024 19:00","Sweden (SE)","21971.00","21774.00"
"09/01/2024 19:00 - 09/01/2024 20:00","Sweden (SE)","21242.00","21305.00"
"09/01/2024 20:00 - 09/01/2024 21:00","Sweden (SE)","20258.00","20726.00"
"09/01/2024 21:00 - 09/01/2024 22:00","Sweden (SE)","19909.00","20024.00"
"09/01/2024 22:00 - 09/01/2024 23:00","Sweden (SE)","19497.00","19224.00"
"09/01/2024 23:00 - 10/01/2024 00:00","Sweden (SE)","18762.00","18419.00"
"10/01/2024 00:00 - 10/01/2024 01:00","Sweden (SE)","18205.00","17915.00"
"10/01/2024 01:00 - 10/01/2024 02:00","Sweden (SE)","18126.00","17619.00"
"10/01/2024 02:00 - 10/01/2024 03:00","Sweden (SE)","18055.00","17567.00"
"10/01/2024 03:00 - 10/01/2024 04:00","Sweden (SE)","17603.00","17562.00"
"10/01/2024 04:00 - 10/01/2024 05:00","Sweden (SE)","17877.00","17669.00"
"10/01/2024 05:00 - 10/01/2024 06:00","Sweden (SE)","18566.00","18272.00"
"10/01/2024 06:00 - 10/01/2024 07:00","Sweden (SE)","20049.00","19700.00"
"10/01/2024 07:00 - 10/01/2024 08:00","Sweden (SE)","21594.00","20991.00"
"10/01/2024 08:00 - 10/01/2024 09:00","Sweden (SE)","21868.00","21352.00"
"10/01/2024 09:00 - 10/01/2024 10:00","Sweden (SE)","21815.00","21379.00"
"10/01/2024 10:00 - 10/01/2024 11:00","Sweden (SE)","21906.00","21294.00"
"10/01/2024 11:00 - 10/01/2024 12:00","Sweden (SE)","21725.00","21130.00"
"10/01/2024 12:00 - 10/01/2024 13:00","Sweden (SE)","21387.00","20971.00"
"10/01/2024 13:00 - 10/01/2024 14:00","Sweden (SE)","21042.00","20837.00"
"10/01/2024 14:00 - 10/01/2024 15:00","Sweden (SE)","21382.00","20855.00"
"10/01/2024 15:00 - 10/01/2024 16:00","Sweden (SE)","21515.00","21183.00"
"10/01/2024 16:00 - 10/01/2024 17:00","Sweden (SE)","21820.00","21501.00"
"10/01/2024 17:00 - 10/01/2024 18:00","Sweden (SE)","22028.00","21662.00"
"10/01/2024 18:00 - 10/01/2024 19:00","Sweden (SE)","21738.00","21327.00"
